Exchange Date,Close,Net,%Chg,Open
05-Apr-2019,29.51,+0.03,+0.10%,29.48
04-Apr-2019,29.48,-0.12,-0.41%,29.62
03-Apr-2019,29.60,+0.13,+0.44%,29.84
02-Apr-2019,29.47,+0.12,+0.41%,29.35
01-Apr-2019,29.35,+0.25,+0.86%,29.25
29-Mar-2019,29.10,+0.21,+0.73%,29.01
28-Mar-2019,28.89,+0.21,+0.73%,28.67
27-Mar-2019,28.68,-0.42,-1.44%,29.04
26-Mar-2019,29.10,-0.01,-0.03%,29.25
25-Mar-2019,29.11,+0.02,+0.07%,29.07
22-Mar-2019,29.09,-0.21,-0.72%,29.10
21-Mar-2019,29.30,+0.24,+0.83%,29.06
20-Mar-2019,29.06,+0.13,+0.45%,29.00
19-Mar-2019,28.93,+0.11,+0.38%,29.00
18-Mar-2019,28.82,+0.69,+2.45%,28.19
15-Mar-2019,28.13,-0.08,-0.28%,28.21
14-Mar-2019,28.21,-0.25,-0.88%,28.39
13-Mar-2019,28.46,+0.11,+0.39%,28.39
12-Mar-2019,28.35,+0.10,+0.35%,28.25
11-Mar-2019,28.25,+0.18,+0.64%,28.10
08-Mar-2019,28.07,-0.15,-0.53%,27.91
07-Mar-2019,28.22,+0.36,+1.29%,27.89
06-Mar-2019,27.86,-0.05,-0.18%,27.80
05-Mar-2019,27.91,-0.07,-0.25%,28.06
04-Mar-2019,27.98,+0.20,+0.72%,27.93
01-Mar-2019,27.78,+0.13,+0.47%,27.74
28-Feb-2019,27.65,-0.37,-1.32%,28.00
27-Feb-2019,28.02,+0.10,+0.36%,27.92
26-Feb-2019,27.92,-0.41,-1.45%,28.27
25-Feb-2019,28.33,+0.26,+0.93%,28.08
22-Feb-2019,28.07,-0.01,-0.04%,28.19
21-Feb-2019,28.08,-0.43,-1.51%,28.46
20-Feb-2019,28.51,-0.03,-0.11%,28.54
19-Feb-2019,28.54,+0.33,+1.17%,28.11
15-Feb-2019,28.21,+0.01,+0.04%,28.17
14-Feb-2019,28.20,+0.14,+0.50%,28.13
13-Feb-2019,28.06,+0.24,+0.86%,27.97
12-Feb-2019,27.82,+0.07,+0.25%,28.09
11-Feb-2019,27.75,+0.20,+0.73%,27.52
08-Feb-2019,27.55,-0.20,-0.72%,27.74
07-Feb-2019,27.75,-0.35,-1.25%,27.98
06-Feb-2019,28.10,-0.48,-1.68%,28.40
05-Feb-2019,28.58,0.00,0.00%,28.61
04-Feb-2019,28.58,+0.40,+1.42%,28.10
01-Feb-2019,28.18,+0.51,+1.84%,27.83
31-Jan-2019,27.67,0.00,0.00%,28.02
30-Jan-2019,27.67,-0.26,-0.93%,27.55
29-Jan-2019,27.93,+0.27,+0.98%,27.75
28-Jan-2019,27.66,-0.06,-0.22%,27.66
25-Jan-2019,27.72,+0.37,+1.35%,27.44
24-Jan-2019,27.35,+0.14,+0.51%,27.12
23-Jan-2019,27.21,-0.21,-0.77%,27.50
22-Jan-2019,27.42,-0.10,-0.36%,27.53
18-Jan-2019,27.52,-0.10,-0.36%,27.75
17-Jan-2019,27.62,+0.14,+0.51%,27.48
16-Jan-2019,27.48,+0.11,+0.40%,27.50
15-Jan-2019,27.37,+0.17,+0.63%,27.41
14-Jan-2019,27.20,+0.17,+0.63%,26.70
11-Jan-2019,27.03,-0.06,-0.22%,27.00
10-Jan-2019,27.09,-0.09,-0.33%,27.00
09-Jan-2019,27.18,-0.34,-1.24%,27.75
08-Jan-2019,27.52,+0.40,+1.47%,27.49
07-Jan-2019,27.12,+0.61,+2.30%,26.83
04-Jan-2019,26.51,+1.06,+4.17%,25.87
03-Jan-2019,25.45,+0.46,+1.84%,25.00
02-Jan-2019,24.99,,,24.53
